Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee (PKR per semester),Fee Per Credit Hour (PKR),Program URL,Fee URL,Admission Deadline
University of Central Punjab,Lahore,MS,MS/M.Phil. Economics,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-humanities-and-social-sciences/department-of-economics/programmes/postgraduate/msm-phil-economics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Psychology,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-humanities-and-social-sciences/department-of-psychology/programmes/doctoral/phd-psychology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,M.Phil./MS English Literature,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-languages-literature/programmes/postgraduate/m-phil-ms-english-literature/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,M.Phil./MS Applied Linguistics,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-languages-literature/programmes/postgraduate/m-phil-ms-applied-linguistics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,PHD,PhD Linguistics,3–5 Years,"MS / MPhil degree in relevant field, minimum CGPA 3.0",GAT / Subject Test and Interview,250000,25000,https://ucp.edu.pk/faculty-of-languages-literature/programmes/postgraduate/phd-linguistics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Microbiology,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/ms-microbiology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Biochemistry,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/ms-biochemistry/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Biotechnology,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/m-sc-biotechnology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Food Technology,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/ms-food-technology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,MS,MS Mathematics,2 Years,"16 years education in relevant discipline, minimum CGPA 2.5",GAT / UCP Admission Test and Interview,220000,22000,https://ucp.edu.pk/faculty-of-science-technology/programmes/postgraduate/ms-mathematics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
