Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee URL,Program URL
University of the Punjab,Lahore,BS,BS Social Entrepreneurship (Self-Supporting) Institute of Applied Psychology Degree Program Name Graduate BS (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Social Work (Self-Supporting) Graduate BS Social Work (Regular,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Space Science (Morning,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Technology Education,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Tourism and Hospitality Management,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,LL.B,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,Ph.D Programs Masters Programs Undergraduate Programs Diploma Certificates All Programs Scholarships HEC Approved Supervisors Student Information Affiliated Colleges Semester System Annual System Campus Life Careers Apply Online Available Jobs Admission Apply Online (On-Campus Programs) Notices BS Admission Related FAQs Regulations Merit of Last Year,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,Ph.D. Produced Annual Reports Debates Sports Community Services Authorized Bank Branches List of all Ph,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,MS,BS (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Admission Related FAQs Regulations Merit of Last Year,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Business Education (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Computational Physics,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Criminology & Security Studies,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS History (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Hons Elementary Education (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Hydrology and Water Resources Management,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Information Technology (IT) Self-Supporting Faculty of Oriental Learning Department of Kashmiriat Degree Program Name Masters BS Kashmiryat (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Islamic Studies (Replacement of M,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,BS Journalism Studies (Morning,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
